,dateList,priceList,Binance
111,06/18/20 08:00:00,9456.5,322102748.0
112,06/19/20 08:00:00,9374.0,333570440.0
113,06/20/20 08:00:00,9297.5,339445686.0
114,06/21/20 08:00:00,9354.5,340716735.0
115,06/22/20 08:00:00,9285.2,338406850.0
116,06/23/20 08:00:00,9688.0,350410679.0
117,06/24/20 08:00:00,9625.5,386278372.0
118,06/25/20 08:00:00,9288.0,365812768.0
119,06/26/20 08:00:00,9240.0,346092221.0
120,06/27/20 08:00:00,9162.9,360044237.0
121,06/28/20 08:00:00,9009.0,374254182.0
122,06/29/20 08:00:00,9126.0,379197184.0
123,06/30/20 08:00:00,9187.8,380034619.0
124,07/01/20 08:00:00,9135.0,384403278.0
125,07/02/20 08:00:00,9224.9,388790027.0
126,07/03/20 08:00:00,9085.6,378050467.0
127,07/04/20 08:00:00,9065.7,375036276.0
128,07/05/20 08:00:00,9140.0,380361215.0
129,07/06/20 08:00:00,9086.0,372709390.0
130,07/07/20 08:00:00,9349.5,400090562.0
131,07/08/20 08:00:00,9253.4,397847309.0
132,07/09/20 08:00:00,9437.0,426005778.0
133,07/10/20 08:00:00,9238.9,393273942.0
134,07/11/20 08:00:00,9285.65,387929033.0
135,07/12/20 08:00:00,9234.3,385035627.0
136,07/13/20 08:00:00,9301.5,382165817.0
137,07/14/20 08:00:00,9245.0,394127600.0
138,07/15/20 08:00:00,9249.3,383648400.0
139,07/16/20 08:00:00,9206.5,398060816.0
140,07/17/20 08:00:00,9133.1,413915172.0
141,07/18/20 08:00:00,9152.2,418388856.0
142,07/19/20 08:00:00,9169.1,408318276.0
143,07/20/20 08:00:00,9220.0,412088958.0
144,07/21/20 08:00:00,9160.4,398714767.0
145,07/22/20 08:00:00,9397.0,448350268.0
146,07/23/20 08:00:00,9515.0,430669953.0
147,07/24/20 08:00:00,9612.0,426554561.0
148,07/25/20 08:00:00,9536.5,422080938.0
149,07/26/20 08:00:00,9708.5,434002015.0
150,07/27/20 08:00:00,9669.3,391473398.0
151,07/28/20 08:00:00,11038.0,426848535.0
152,07/29/20 08:00:00,10936.6,424904703.0
153,07/30/20 08:00:00,11101.0,460725620.0
154,07/31/20 08:00:00,11015.0,466892449.0
155,08/01/20 08:00:00,11015.0,484056102.0
156,08/02/20 08:00:00,11015.0,520235994.0
157,08/03/20 08:00:00,11067.0,385644487.0
158,08/04/20 08:00:00,11237.0,394372325.0
159,08/05/20 08:00:00,11198.5,398027099.0
160,08/06/20 08:00:00,11761.0,450254946.0
161,08/07/20 08:00:00,11770.0,464941850.0
162,08/08/20 08:00:00,11604.0,413229487.0
163,08/09/20 08:00:00,11776.5,434997581.0
164,08/10/20 08:00:00,11700.1,443142016.0
165,08/11/20 08:00:00,11899.5,449710797.0
166,08/12/20 08:00:00,11390.4,452684010.0
167,08/13/20 08:00:00,11568.5,453155478.0
168,08/14/20 08:00:00,11803.0,450030431.0
169,08/15/20 08:00:00,11773.5,441673240.0
170,08/16/20 08:00:00,11861.5,457451629.0
171,08/17/20 08:00:00,11923.5,465630861.0
